a52dec 0.7.4-9
dbus-glib 0.108-1
dcadec 0.2.0-1
dconf 0.26.0+1+g701d19d-1
desktop-file-utils 0.23-1
device-mapper 2.02.171-1
dhcpcd 6.11.5-1
diffutils 3.6-1
discord 0.0.1-7
djvulibre 3.5.27-3
dkms 2.4.0-1
dmenu2 0.2-1
dnssec-anchors 20170228-1
docbook2x 0.8.8-15
dotconf 1.3-4
double-conversion 2.0.1-3
e2fsprogs 1.43.4-1
electron 1.4.16-2
elementary-icon-theme 4.0.3-1
enchant 1.6.1-2
evtest 1.33-2
exempi 2.4.2+1+gc26d5be-1
exiv2 0.25-3
expac 8-1
expat 2.2.0-2
faac 1.28-5
faad2 2.7-4
fakeroot 1.21-2
feh 2.19-1
ffmpeg 1:3.3.1-9
ffmpeg2.8 2.8.11-9
fftw 3.3.6-2
file 5.31-1
file-roller 3.24.1-1
filesystem 2017.03-2
findutils 4.6.0-2
firefox 53.0.3-1
fixesproto 5.0+9+g4292ec1-1
flac 1.3.2-1
flashplugin 25.0.0.171-1
flex 2.6.4-1
fluidsynth 1.1.6-5
fontconfig 2.12.3-1
fonts-meta-base 1-2
fonts-meta-extended-lt 2-2
fontsproto 2.1.3-1
freeglut 3.0.0-1
freetype2 2.8-2
frei0r-plugins 1.6.1-2
fribidi 0.19.7-1
fuse-common 3.0.2-1
fuse2 2.9.7-3
gavl 1.4.0-2
gawk 4.1.4-2
gc 7.6.0-1
gcc-libs-multilib 7.1.1-3
gcc-multilib 7.1.1-3
gconf 3.2.6-5
gconfmm 2.28.3-4
gcr 3.20.0+45+g4708f35-1
gd 2.2.4-2
gdb 8.0-1
gdb-common 8.0-1
gdbm 1.13-1
gdk-pixbuf2 2.36.6-2
gedit 3.22.0+44+ge706c1259-1
gegl02 0.2.0-7
geoclue2 2.4.7-1
geocode-glib 3.23.90-1
gettext 0.19.8.1-2
ghostscript 9.21-2
giblib 1.2.4-6
giflib 5.1.4-1
gimp 2.8.20-1
girara 0.2.7-1
git 2.13.1-1
gjs 1.48.3-1
glew 2.0.0-1
glew1.10 1.10.0-1
glfw-wayland 3.2.1-1
glib-networking 2.50.0-2
