a52dec 0.7.4-9
ttf-dejavu 2.37-1
ttf-droid 20121017-5
ttf-font-awesome 4.7.0-2
ttf-gelasio-ib 1.00-7
ttf-heuristica 1.0.2-2
ttf-impallari-cantora 1.001-1
ttf-liberation 2.00.1-7
ttf-merriweather 2.001-1
ttf-merriweather-sans 1.006-3
ttf-ms-fonts 2.0-10
ttf-opensans 1.10-3
ttf-oswald 4.002-1
ttf-quintessential 1.001-3
ttf-signika 1.000-3
ttf-symbola 9.00-2
ttf-ubuntu-font-family 0.83-2
tzdata 2017b-1
uchardet 0.0.6-1
udisks2 2.6.5-1
unicorn 1.0.1-1
unrar 1:5.5.3-1
unzip 6.0-12
upower 0.99.4+12+g402640b-1
usbmuxd 1.1.0-2
usbutils 008-1
util-linux 2.29.2-2
v4l-utils 1.12.5-1
vagrant 1.9.5-1
vagrant-substrate 605.0566498-2
valgrind 3.12.0-2
vamp-plugin-sdk 2.6-1
vi 1:070224-2
vid.stab 1.1-1
videoproto 2.3.3-1
vim-pathogen 2.4-1
vim-runtime 8.0.0628-1
vimpager 2.06-3
virtualbox 5.1.22-2
virtualbox-guest-iso 5.1.22-1
virtualbox-host-modules-arch 5.1.22-3
vlc 2.2.6-1
vte-common 0.48.3-1
vte3 0.48.3-1
vulkan-icd-loader 1.0.46.0-1
w3m 0.5.3.git20170102-2
wavpack 5.1.0-1
wayland 1.13.0-1
wayland-protocols 1.7-1
webkit2gtk 2.16.3-1
webrtc-audio-processing 0.3-2
wget 1.19.1-2
which 2.21-2
wildmidi 0.4.1-1
wine-staging 2.9-1
wireless_tools 30.pre9-1
wmctrl 1.07-4
wpa_supplicant 1:2.6-6
x265 2.4-1
xbitmaps 1.1.1-3
xboxdrv 0.8.8-2
xcb-proto 1.12-3
xcb-util 0.4.0-1
xcb-util-cursor 0.1.3-1
xcb-util-image 0.4.0-1
xcb-util-keysyms 0.4.0-1
xcb-util-renderutil 0.3.9-1
xcb-util-wm 0.4.1-1
xcb-util-xrm 1.2-2
xclip 0.13-1
xdg-user-dirs 0.15-4
xdg-utils 1.1.2-1
xextproto 7.3.0-1
xf86-input-libinput 0.25.1-1
xf86vidmodeproto 2.3.1-3
xfsprogs 4.11.0-1
xine-lib 1.2.8-2
xineramaproto 1.2.1-3
xkeyboard-config 2.21-1
xorg-bdftopcf 1.0.5-1
xorg-font-util 1.3.1-1
xorg-font-utils 7.6-4
xorg-fonts-alias 1.0.3-1
xorg-fonts-encodings 1.0.4-4
xorg-fonts-misc 1.0.3-5
xorg-iceauth 1.0.7-1
xorg-luit 1.1.1-2
xorg-mkfontdir 1.0.7-8
xorg-mkfontscale 1.1.2-1
xorg-server 1.19.3-2
xorg-server-common 1.19.3-2
xorg-server-utils 7.6-4
xorg-sessreg 1.1.1-1
xorg-setxkbmap 1.3.1-1
xorg-xauth 1.0.10-1
xorg-xbacklight 1.2.1-1
xorg-xcmsdb 1.0.5-1
xorg-xev 1.2.2-1
xorg-xgamma 1.0.6-1
xorg-xhost 1.0.7-1
xorg-xinit 1.3.4-4
xorg-xinput 1.6.2-1
xorg-xkbcomp 1.4.0-1
xorg-xkill 1.0.4-1
xorg-xmodmap 1.0.9-1
xorg-xprop 1.2.2-1
xorg-xrandr 1.5.0-1
xorg-xrdb 1.1.0-2
xorg-xrefresh 1.0.5-1
xorg-xset 1.2.3-1
xorg-xsetroot 1.1.1-2
xorg-xwininfo 1.1.3-1
xproto 7.0.31-1
xterm 328-1
xvidcore 1.3.4-1
xz 5.2.3-1
yajl 2.1.0-1
zathura 0.3.7-1
zathura-djvu 0.2.6-1
zathura-pdf-mupdf 0.3.1-3
zenity 3.24.0-1
zip 3.0-7
zita-alsa-pcmi 0.2.0-3
zita-resampler 1.3.0-5
zlib 1:1.2.11-1
zvbi 0.2.35-1
zziplib 0.13.66-2
